Profile,Landform,subLandform,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
55,Lower_slope,NA,497352,6403626,116.97181,-32.5046417,B1,B,30-65,30,65,47.5,30.5,51.5,11.3,37.2,1.491,0.460,0.050,9.200,5.81,5.02,70.2,7.62,0.04,3.51,0.02,3.13,0.29
56,Valley_floor,NA,495711,6403941,116.954342,-32.5017949,B1,B,20-42,20,42,31,6.5,97.8,0.2,2.0,1.403,0.110,0.010,11.000,7.16,5.80,44.3,5.43,0.005,0.75,0.09,3.04,3.37
57,Sub_valley_floor,NA,495765,6404195,116.954918,-32.4995038,B1,B,30-40,30,40,35,12.9,67.0,4.3,28.7,1.625,0.170,0.020,8.500,7.34,6.67,650,5.43,0.005,0.75,0.09,3.04,3.37
58,Lower_slope,NA,496884,6403490,116.966827,-32.5058673,B1,B,10-40,10,40,25,12.4,88.6,9.6,2.2,1.754,0.700,0.040,17.500,5.61,4.59,72.3,2.27,0.13,0.98,0.02,0.49,0.14
59,Lower_slope,NA,497268,6404131,116.970917,-32.5000858,B1,B,20-50,20,50,35,10.9,87.8,5.2,7.0,1.710,0.180,0.020,9.000,5.02,4.11,17.8,1.12,0.28,0.27,0.01,0.09,0.02
60,Lower_slope,NA,496653,6404196,116.964371,-32.4994978,B1,B,37-53,37,53,45,51.3,93.0,4.2,2.2,1.652,0.120,0.010,12.000,5.88,4.69,10.93,0.99,0.05,0.49,0.03,0.15,0.02
61,Sub_valley_floor,NA,496840,6404334,116.966362,-32.4982534,B1,B,20-35,20,35,27.5,16.3,90.1,5.2,4.7,1.552,0.430,0.090,3.609,6.14,4.75,179.9,3.32,0.06,1.63,0.06,1,0.33
62,Lower_slope,Sub_valley_floor,495983,6404204,116.9572,-32.49942,B1,B,34-74,34,74,54,27.9,90.9,6.3,2.8,1.439,0.167,0.017,9.824,6.28,5.06,15.99,2.3,0.005,1.4,0.1,0.3,0.1
63,Lower_slope,NA,496419,6404110,116.9619,-32.50027,B1,B,36-52,36,52,44,9.0,91.9,5.3,2.8,1.647,0.095,0.009,10.649,5.56,4.73,16.76,0.4,0.005,0.6,0.005,0.2,0.005
64,Mid-slope,NA,495625,6403350,116.9534,-32.50713,B1,B,43-59,43,59,51,14.8,49.1,5.7,45.2,1.510,0.164,0.036,4.627,6.52,5.76,155.5,6.4,0.1,1.3,0.005,3.8,0.7
