Profile,Landform,subLandform,LF5,LF3,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
74,Valley_floor,Lower_slope,VF,Depositional,498125,6403455,116.98,-32.50619,A,A,0-17,0,17,8.5,10.9,85,4.6,10.4,1.52,0.7,0.07,10.5,6.1,5.7,4620,4.76,0.005,0.78,0.09,5.52,10.97
75,Lower_slope,NA,LS,Depositonal,498350,6403540,116.9824,-32.50542,A1,A,0-10,0,10,5,29.8,82,6.4,11.6,1.26,2.58,0.21,12.3,5.6,4.7,87.9,5.93,0.12,4.47,0.48,0.79,0.11
76,Lower_slope,NA,LS,Depositonal,498036,6403443,116.9791,-32.50629,A,A,0-13,0,13,6.5,6.5,75.6,9.9,14.5,1.43,2.55,0.2,13.1,5.3,4.7,333,6.34,0.07,4.17,0.37,1.34,0.67
77,Valley_floor,NA,VF,Depositional,497749,6403736,116.976,-32.50365,A,A,0-10,0,10,5,93.5,91.4,5.1,3.7,1.59,0.88,0.06,14.4,5.3,4.6,87.4,1.52,0.005,1.54,0.02,0.18,0.05
78,Lower_slope,NA,LS,Depositonal,495287,6404011,116.9498,-32.50116,A1,A,0-14,0,14,7,9.3,97,2,1,1.4,1.17,0.09,12.8,4.2,3.7,99,2.5,0.2,1.1,0.2,0.2,0.1
79,Mid-slope,NA,MS,Erosional,495601,6403548,116.9532,-32.50534,A1,A,0-15,0,15,7.5,6.9,90.5,6.7,2.7,1.5,1.69,0.11,14.9,5.08,4,49.5,2.1,0.4,0.8,0.005,0.2,0.2
80,Valley_floor,NA,VF,Depositional,496179,6403888,116.9593,-32.50227,A1,A,0-12,0,12,6,18.2,84.9,7.6,7.6,1.5,1.99,0.15,13.1,7.1,4.22,20.88,5.2,0.2,2.3,0.2,0.4,0.2
81,Sub_valley_floor,NA,VF,Depositional,495842,6404279,116.9557,-32.49875,A1,A,0-13,0,13,6.5,12,91.2,8.8,0,0.9,8.81,0.64,13.8,6.3,5.8,191.1,30,0.005,16.6,0.1,11.5,1.3
82,Mid-slope,NA,MS,Erosional,499186,6404600,116.9913,-32.49586,A,A,0-14,0,14,7,8,88.8,4.9,6.4,1.3,0.13,1.91,14.3,5.65,5.57,56.3,5.1,0.005,4.4,0.1,0.6,0.1
83,Mid-slope,NA,MS,Erosional,499543,6404302,116.9951,-32.49855,A1,A,0-11,0,11,5.5,0,92.5,4.8,2.8,1.3,2.46,0.15,16.5,6,4.36,100.3,2.9,0.3,2.4,0.1,0.3,0.1
84,Valley_floor,NA,VF,Depositional,499525,6403063,116.9949,-32.50972,A1,A,0-10,0,10,5,5.4,89.9,5.2,4.9,1.7,0.97,0.08,11.7,7.6,6.6,836,5.7,0.1,2.3,0.1,2.9,4.1
